City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Mafinga,TZ,71.2,overcast clouds,-7.25,35.0667,
482,Kuressaare,EE,51.94,few clouds,58.2481,22.5039,Asa Spa Hotel
483,Binga,ZW,73.47,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
484,Dwarka,IN,78.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
485,Los Algarrobos,PA,73.81,moderate rain,8.5,-82.4333,Waterfall Hostel
486,Miyako,JP,53.46,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
487,Wanaka,NZ,68.72,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
489,Ouadda,CF,67.91,scattered clouds,8.0777,22.4007,
490,Kaeo,NZ,74.32,few clouds,-35.1,173.7833,Bushido Lodge
492,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
493,Calvinia,ZA,60.04,clear sky,-31.4707,19.776,Die Lemoenhuis
495,Matay,EG,61.29,clear sky,28.419,30.7792,Nag Aespen
496,Madras,IN,75.18,moderate rain,13.0878,80.2785,"Taj Connemara, Chennai"
500,Caravelas,BR,75.87,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
502,Rameswaram,IN,79.21,heavy intensity rain,9.2833,79.3,Daiwik Hotels Rameswaram
504,Disna,BY,46.36,overcast clouds,55.568,28.1971,
505,Bengkulu,ID,75.63,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
507,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
510,Newcastleton,GB,58.03,overcast clouds,55.1796,-2.8127,Sorbietrees B&B
511,Zarubino,RU,47.79,overcast clouds,42.63,131.0922,Okean
512,Aracuai,BR,72.3,few clouds,-16.8497,-42.0703,Village das Minas Hotel
514,Calderitas,MX,77.74,clear sky,18.55,-88.25,Hotel Hacienda Campestre
515,Vagur,FO,49.26,overcast clouds,61.4732,-6.8119,The Scouts House Camping
516,Angoche,MZ,73.44,clear sky,-16.2325,39.9086,Guest House HESADA
518,Areka,ET,57.97,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
521,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
522,Imbituba,BR,63.25,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
523,Susangerd,IR,69.8,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
524,Lalibela,ET,53.08,broken clouds,12.0333,39.0333,Honey Land Hotel Lalibela
526,Muros,ES,54.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
527,Ullal,IN,76.15,mist,12.8,74.85,AK INTERNATIONAL LODGE
528,Araouane,ML,72.86,clear sky,18.9048,-3.5265,
